Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
-0.000193026,-0.000218378,-3e-07,-0.0015431,9.91e+37
-0.000194254,-0.000219373,-6e-07,-0.00150986,9.91e+37
-0.000195024,-0.00021908,-4e-07,-0.0014661,9.91e+37
-0.000195867,-0.000219425,-4e-07,-0.0014229,9.91e+37
-0.000197023,-0.000219928,1.2e-06,-0.00136422,9.91e+37
-0.000197793,-0.000220388,-1.7e-06,-0.00134183,9.91e+37
-0.000198594,-0.000220148,-3e-07,-0.00131362,9.91e+37
-0.000199115,-0.000221299,5e-07,-0.00127508,9.91e+37
-0.000200031,-0.000221666,3e-07,-0.00124508,9.91e+37
-0.000200936,-0.000222043,-1e-07,-0.00120906,9.91e+37
-0.000201831,-0.000222074,5e-07,-0.00118252,9.91e+37
-0.000202654,-0.000222671,9e-07,-0.00116906,9.91e+37
-0.000203164,-0.000222702,-6e-07,-0.00114804,9.91e+37
-0.00020434,-0.000223006,-2e-07,-0.0011082,9.91e+37
-0.000204808,-0.000223257,0.0,-0.00109365,9.91e+37
-0.000205298,-0.000224001,7e-07,-0.00106799,9.91e+37
-0.000206068,-0.000224535,-2e-07,-0.00106013,9.91e+37
-0.00020664,-0.000225068,1e-07,-0.00104964,9.91e+37
-0.000207348,-0.000224974,1.7e-06,-0.00101953,9.91e+37
-0.000207515,-0.000225519,1e-07,-0.00102192,9.91e+37
-0.000208545,-0.000226032,-1.1e-06,-0.00101589,9.91e+37
-0.000208909,-0.000226838,4e-07,-0.00100834,9.91e+37
-0.000209752,-0.000226649,0.0,-0.00096651,9.91e+37
-0.000209867,-0.0002271,2e-07,-0.0009674,9.91e+37
-0.000210408,-0.000227257,-5e-07,-0.00093681,9.91e+37
-0.000210783,-0.000227843,0.0,-0.00094418,9.91e+37
-0.000211501,-0.000228188,2e-07,-0.00093825,9.91e+37
-0.000211969,-0.00022867,1.2e-06,-0.00092971,9.91e+37
