Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
-0.000279646,-0.000332122,1.3e-06,-0.00109559,9.91e+37
-0.000280156,-0.000332373,2e-07,-0.00109093,9.91e+37
-0.000279927,-0.000332551,-5e-07,-0.00110393,9.91e+37
-0.000280426,-0.000332698,5e-07,-0.00108779,9.91e+37
-0.000280291,-0.000333001,4e-07,-0.00107878,9.91e+37
-0.000280124,-0.000333085,6e-07,-0.00109219,9.91e+37
-0.0002795,-0.000333043,1e-07,-0.00109453,9.91e+37
-0.000278802,-0.000332991,-1e-06,-0.00108415,9.91e+37
-0.00027848,-0.000332551,6e-07,-0.00106176,9.91e+37
-0.000277876,-0.000332206,-6e-07,-0.00101731,9.91e+37
-0.000277179,-0.00033208,1e-07,-0.00101018,9.91e+37
-0.000276398,-0.000331891,-1.6e-06,-0.00100155,9.91e+37
-0.00027518,-0.000331138,-1.1e-06,-0.00095468,9.91e+37
-0.000274171,-0.000330342,1e-07,-0.00092652,9.91e+37
-0.000273286,-0.000330038,-3e-07,-0.00092659,9.91e+37
-0.00027237,-0.000329525,-3e-07,-0.00090871,9.91e+37
-0.000272276,-0.0003294,-5e-07,-0.000890556,9.91e+37
-0.000271745,-0.000328541,1e-06,-0.000868236,9.91e+37
-0.000271392,-0.000328426,5e-07,-0.000846928,9.91e+37
-0.000270913,-0.000328238,-1.3e-06,-0.000855314,9.91e+37
-0.000270965,-0.000327798,-1.5e-06,-0.000851453,9.91e+37
-0.000270705,-0.000327798,-1.5e-06,-0.000873201,9.91e+37
-0.000271079,-0.000327976,1.3e-06,-0.000856971,9.91e+37
-0.000271631,-0.000328196,1.8e-06,-0.000832584,9.91e+37
-0.000272141,-0.000328133,1.5e-06,-0.000837198,9.91e+37
-0.000272287,-0.000328196,-9e-07,-0.000853667,9.91e+37
-0.000272599,-0.000328353,0.0,-0.000847926,9.91e+37
-0.000272412,-0.000328353,4e-07,-0.000834398,9.91e+37
-0.000272328,-0.000328007,1.4e-06,-0.000817552,9.91e+37
-0.00027212,-0.000327641,0.0,-0.000824784,9.91e+37
-0.000272786,-0.000327735,-1e-06,-0.000807248,9.91e+37
-0.000272422,-0.000327547,-5e-07,-0.000850989,9.91e+37
-0.000272755,-0.000328039,1e-07,-0.000845466,9.91e+37
-0.00027211,-0.000327348,7e-07,-0.000836956,9.91e+37
-0.000271714,-0.000327463,1.4e-06,-0.000855997,9.91e+37
-0.000271444,-0.000326751,4e-07,-0.00086406,9.91e+37
-0.000271142,-0.000326918,1.8e-06,-0.000865911,9.91e+37
-0.000270611,-0.000326646,3e-07,-0.000875614,9.91e+37
-0.00027007,-0.000326803,-2e-07,-0.000862035,9.91e+37
-0.00026932,-0.000325945,-4e-07,-0.000862553,9.91e+37
-0.000268685,-0.000326227,-1e-07,-0.000845988,9.91e+37
-0.000267811,-0.000325547,-4e-07,-0.000852575,9.91e+37
-0.000267384,-0.000324772,1e-07,-0.000846456,9.91e+37
-0.000266822,-0.000324793,-1.7e-06,-0.000847528,9.91e+37
-0.000266916,-0.000324301,-5e-07,-0.000836512,9.91e+37
-0.000266323,-0.000323798,0.0,-0.000855145,9.91e+37
-0.000266198,-0.000323872,7e-07,-0.000858016,9.91e+37
-0.000266042,-0.000323662,8e-07,-0.000863273,9.91e+37
-0.000266042,-0.00032362,1.1e-06,-0.000888462,9.91e+37
-0.000265969,-0.000323589,1.9e-06,-0.000882739,9.91e+37
-0.000265709,-0.000323526,4e-07,-0.000828322,9.91e+37
-0.000265781,-0.000323359,-2e-07,-0.000805946,9.91e+37
-0.000265636,-0.00032339,-1e-06,-0.000811113,9.91e+37
-0.000265355,-0.000323149,1e-06,-0.000825258,9.91e+37
-0.000265063,-0.000322647,2e-07,-0.000833218,9.91e+37
-0.000264407,-0.000322605,1.1e-06,-0.000849041,9.91e+37
-0.000264158,-0.000322605,-8e-07,-0.000850392,9.91e+37
-0.000263877,-0.000322668,2e-07,-0.000872679,9.91e+37
-0.000263148,-0.000322406,8e-07,-0.000874908,9.91e+37
-0.000263294,-0.000322291,-3e-07,-0.000868463,9.91e+37
-0.00026319,-0.000322793,5e-07,-0.000876959,9.91e+37
-0.000263065,-0.000322573,-8e-07,-0.000875776,9.91e+37
-0.000263148,-0.000323118,-1.4e-06,-0.000897087,9.91e+37
-0.00026345,-0.000323505,-3e-07,-0.000908916,9.91e+37
-0.000263627,-0.000323652,1.7e-06,-0.000900996,9.91e+37
-0.000263554,-0.000324678,5e-07,-0.00089287,9.91e+37
-0.0002632,-0.000324196,9e-07,-0.000883888,9.91e+37
-0.000262596,-0.000324573,1e-07,-0.00086317,9.91e+37
-0.000262295,-0.000324395,-1e-07,-0.000858273,9.91e+37
-0.000261451,-0.000324018,3e-07,-0.000850422,9.91e+37
-0.000260473,-0.000323934,0.0,-0.000837378,9.91e+37
-0.000259651,-0.000323463,2e-07,-0.000836129,9.91e+37
-0.000259182,-0.000323139,1.9e-06,-0.000831184,9.91e+37
-0.000258849,-0.000322898,-1.2e-06,-0.000832677,9.91e+37
-0.000258704,-0.000323118,2e-07,-0.000823751,9.91e+37
-0.000258412,-0.000323086,3e-07,-0.000812341,9.91e+37
-0.000258225,-0.000322814,0.0,-0.000808884,9.91e+37
-0.000257777,-0.000322971,-2e-07,-0.000796802,9.91e+37
-0.000257694,-0.000322636,1e-06,-0.000767038,9.91e+37
-0.000257153,-0.000322531,7e-07,-0.0007444,9.91e+37
-0.000256653,-0.000322249,-1.4e-06,-0.000731047,9.91e+37
-0.00025606,-0.000321401,0.0,-0.000737607,9.91e+37
-0.000255415,-0.000321055,3e-07,-0.000779967,9.91e+37
-0.000255165,-0.000321296,-6e-07,-0.000786476,9.91e+37
-0.000255102,-0.000320982,7e-07,-0.000790795,9.91e+37
-0.000255581,-0.00032139,6e-07,-0.000797351,9.91e+37
-0.000255852,-0.000320992,0.0,-0.000796705,9.91e+37
